eventType,poolType,poolName,amountRaw,amountFormatted,tokenSymbol,tokenDecimals,basisSourceEvent,basisFormula,sourceUser,sourceReferrer,recipientOrBeneficiary,dayId,rank,luckyRank,orderId,block,tx
PoolAllocated,1,Referral,5000000000000000000,5.0,USDx5,18,MachinePurchased,5000000000000000000 = 100000000000000000000 * 500/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,6,7630223,0xd2e1247916312e28225e0dbea1cca006b399c1cc15a11a424806d0f332a1f1e5
PoolAllocated,2,SuperNode,5000000000000000000,5.0,USDx5,18,MachinePurchased,5000000000000000000 = 100000000000000000000 * 500/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,6,7630223,0xd2e1247916312e28225e0dbea1cca006b399c1cc15a11a424806d0f332a1f1e5
PoolAllocated,3,Node,8000000000000000000,8.0,USDx5,18,MachinePurchased,8000000000000000000 = 100000000000000000000 * 800/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,6,7630223,0xd2e1247916312e28225e0dbea1cca006b399c1cc15a11a424806d0f332a1f1e5
PoolAllocated,4,Platform,20000000000000000000,20.0,USDx5,18,MachinePurchased,20000000000000000000 = 100000000000000000000 * 2000/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,6,7630223,0xd2e1247916312e28225e0dbea1cca006b399c1cc15a11a424806d0f332a1f1e5
PoolAllocated,5,Leaderboard,2000000000000000000,2.0,USDx5,18,MachinePurchased,2000000000000000000 = 100000000000000000000 * 200/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,6,7630223,0xd2e1247916312e28225e0dbea1cca006b399c1cc15a11a424806d0f332a1f1e5
PoolAllocated,0,Liquidity,60000000000000000000,60.0,USDx5,18,MachinePurchased,60000000000000000000 = 100000000000000000000 * 6000/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,7,7630569,0x7286226c98459fc0e66c30da7792bae4993861efc5919903c6748a75cd23b0ba
PoolAllocated,1,Referral,5000000000000000000,5.0,USDx5,18,MachinePurchased,5000000000000000000 = 100000000000000000000 * 500/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,7,7630569,0x7286226c98459fc0e66c30da7792bae4993861efc5919903c6748a75cd23b0ba
PoolAllocated,2,SuperNode,5000000000000000000,5.0,USDx5,18,MachinePurchased,5000000000000000000 = 100000000000000000000 * 500/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,7,7630569,0x7286226c98459fc0e66c30da7792bae4993861efc5919903c6748a75cd23b0ba
PoolAllocated,3,Node,8000000000000000000,8.0,USDx5,18,MachinePurchased,8000000000000000000 = 100000000000000000000 * 800/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,7,7630569,0x7286226c98459fc0e66c30da7792bae4993861efc5919903c6748a75cd23b0ba
PoolAllocated,4,Platform,20000000000000000000,20.0,USDx5,18,MachinePurchased,20000000000000000000 = 100000000000000000000 * 2000/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,7,7630569,0x7286226c98459fc0e66c30da7792bae4993861efc5919903c6748a75cd23b0ba
